文番号,文字数,単語数,平均単語長,感情スコア
326,30,22,1.3636363636363635,0.2655339645709034
327,76,57,1.3333333333333333,0.2700658261147475
328,16,10,1.6,0.7702219376526226
329,53,38,1.3421052631578947,0.004029890006883585
330,10,6,1.5,0.65757390997123
331,66,43,1.5348837209302326,0.9934247547004085
332,18,9,2.0,0.6891792595424622
333,31,22,1.4090909090909092,0.04582412075507214
334,25,18,1.3888888888888888,0.9700998587768822
335,38,29,1.3103448275862069,0.17848046877317103
336,43,29,1.4137931034482758,0.1131612939138098
337,46,28,1.6428571428571428,0.1720920396046064
338,27,15,1.8,0.19091464517024026
339,77,52,1.4807692307692308,0.11143187731924731
340,45,26,1.7307692307692308,0.2201947927881618
341,10,6,1.6666666666666667,0.19400707970508313
342,25,21,1.1904761904761905,0.11142162995992877
343,32,20,1.6,0.006714443905514567
344,27,19,1.4210526315789473,0.00029820232166322125
345,65,44,1.4772727272727273,0.15524506304156227
346,68,41,1.6585365853658536,0.0848266019623749
347,50,32,1.5625,0.029073426181480233
348,55,36,1.5277777777777777,0.23816816233607485
349,46,26,1.6923076923076923,0.14576349539456712
350,34,21,1.619047619047619,0.022724350472507315
351,35,26,1.3461538461538463,0.25918921703691944
352,105,70,1.5,0.004472957156507307
353,18,13,1.3846153846153846,0.03183046061280426
354,28,18,1.5555555555555556,0.5140853763758745
355,34,24,1.4166666666666667,0.411088783853804
356,25,17,1.3529411764705883,0.5929501808089325
357,113,75,1.5066666666666666,0.45149645587211384
358,24,16,1.5,0.22508047206126802
359,139,90,1.5444444444444445,0.13658831658446124
360,34,22,1.5454545454545454,0.7194642004385176
361,57,41,1.3414634146341464,0.039137412943241245
362,16,10,1.6,0.20662781936526697
363,20,15,1.3333333333333333,0.2742257445549644
364,89,60,1.4833333333333334,0.0029974965362041806
365,15,7,2.142857142857143,0.1956519142229829
366,61,40,1.525,0.8383878696087195
367,20,12,1.6666666666666667,0.32023999142740567
368,64,40,1.55,0.40503072724964184
369,37,25,1.48,0.1418021392971539
370,94,69,1.3623188405797102,0.027569088267931474
371,81,55,1.4363636363636363,0.060557415439251416
372,66,49,1.346938775510204,0.26306475018778086
373,43,32,1.34375,0.15895393911452171
374,65,46,1.4130434782608696,0.04338834287565152
375,47,32,1.46875,0.0010991310406497368
376,139,102,1.3627450980392157,0.12726818652397265
377,146,103,1.4174757281553398,0.0003523689540397834
378,36,29,1.2413793103448276,0.049977283357614755
379,35,26,1.3461538461538463,0.20392155726285333
380,28,18,1.4444444444444444,0.38305020483192975
381,24,20,1.2,0.3032528026697231
382,36,22,1.6363636363636365,0.39544427628971435
383,18,15,1.2,0.9655671270104078
384,39,31,1.2580645161290323,0.15924656991344754
