文番号,文字数,単語数,平均単語長,主成分1,主成分2
110,50,36,1.3888888888888888,0.2173601000551047,-0.7888787174405192
111,63,45,1.4,0.6962407354294183,-0.6667725342603151
112,35,23,1.5217391304347827,-0.5089906266339304,-0.10278647382958594
113,63,41,1.5365853658536586,0.4904735499056829,0.10602397856258276
114,39,26,1.5,-0.33773807014769947,-0.20841125648799844
115,26,20,1.3,-0.6020842295037409,-1.4035137461643257
116,39,23,1.6956521739130437,-0.5569829204151909,0.9031854290674848
117,25,15,1.6666666666666667,-1.0140374626493003,0.6774019890130542
118,26,14,1.8571428571428572,-1.1560742292313086,1.766176674738882
119,19,13,1.4615384615384617,-1.0361910893301127,-0.5167922979071653
120,45,26,1.6538461538461535,-0.3351887205022775,0.6897274127424728
121,44,32,1.375,0.006695163679748399,-0.8949762932804748
122,148,88,1.681818181818182,3.2433982587319914,1.2986987280475424
123,20,14,1.4285714285714286,-0.9672877331961295,-0.699913027711239
124,107,71,1.5070422535211268,2.1453015129014656,0.13528071006556064
125,21,12,1.75,-1.2281880703337757,1.1345659381049142
126,71,44,1.6136363636363635,0.6660541043485936,0.5776189473314115
127,54,36,1.5,0.21310699573087824,-0.14133890580892572
128,41,24,1.7083333333333333,-0.5015889136090721,0.9839422157573114
129,36,23,1.565217391304348,-0.5209887000792455,0.14870650189468146
130,67,49,1.3673469387755102,0.902754585982415,-0.8330011374795684
131,20,13,1.4615384615384617,-1.0179081854590202,-0.5134446161359204
132,70,45,1.5555555555555556,0.7158824547950314,0.24446995650365907
133,17,13,1.3076923076923077,-0.9656088234911625,-1.401540240052659
134,73,51,1.431372549019608,1.023180875587583,-0.44412758291552207
135,39,19,2.0526315789473686,-0.9162462846642567,2.9338460455639312
136,18,12,1.5,-1.1089211623777082,-0.3023125474387003
137,13,9,1.4444444444444444,-1.244623774172529,-0.6411826358013513
138,11,9,1.2222222222222223,-1.126420142297518,-1.916176168437067
139,11,8,1.375,-1.2604842828155594,-1.045906889596514
140,12,9,1.3333333333333333,-1.1855219582350232,-1.2786794021192096
141,7,5,1.4,-1.4340079126005207,-0.9216712098916259
142,18,14,1.2857142857142858,-0.9043589011844033,-1.521942928527946
143,22,17,1.2941176470588236,-0.7540994592242536,-1.455534209076069
144,60,33,1.818181818181818,0.018222268980067964,1.6896624260598156
145,11,5,2.2,-1.918046279738058,3.6575929259289706
146,13,5,2.6,-2.160065463306827,5.947224993839268
147,27,19,1.4210526315789471,-0.6957700922053393,-0.7109630373243907
148,27,20,1.35,-0.6186244495465172,-1.1147989763471045
149,80,55,1.4181818181818182,1.2709886548996845,-0.48923496984021503
150,71,48,1.4791666666666667,0.8703478058781908,-0.18310272011777295
151,27,17,1.588235294117647,-0.8675268452444906,0.2398341294623665
152,43,28,1.5357142857142858,-0.23415981303936909,0.012184529737615909
153,18,10,1.8,-1.3731802074233606,1.4065185560150757
154,18,10,1.8,-1.3731802074233606,1.4065185560150757
155,55,36,1.5277777777777777,0.21204371964982172,0.02054604709897207
156,32,21,1.5238095238095235,-0.620601591110427,-0.10438450139621125
157,8,5,1.6,-1.5550175043849055,0.22314482406352346
158,20,12,1.6666666666666667,-1.1884324343484198,0.6556064429237098
159,41,29,1.4137931034482758,-0.15815194124484258,-0.6886709764813138
160,55,35,1.5714285714285714,0.15398242894379693,0.26799033218838786
161,7,5,1.4,-1.4340079126005207,-0.9216712098916259
162,56,38,1.4736842105263157,0.3233210649901689,-0.2814653216790808
163,23,15,1.5333333333333334,-0.9577416066211681,-0.09027227598537144
164,67,46,1.4565217391304348,0.7576672311836781,-0.32910721262536546
165,28,19,1.4736842105263157,-0.7141431082435823,-0.40722894708369645
166,14,10,1.4,-1.1677268315967781,-0.8898088754377121
167,68,45,1.511111111111111,0.7102705349762849,-0.015885040857476607
168,41,18,2.2777777777777777,-1.064146507315449,4.223841999592465
169,19,12,1.5833333333333333,-1.1486767983630641,0.17664694774250414
170,38,22,1.7272727272727273,-0.6249485040248898,1.0786213395783066
171,18,11,1.6363636363636365,-1.231553469287661,0.4742756166392858
172,80,56,1.4285714285714286,1.291412831880618,-0.4282522001728687
173,29,18,1.6111111111111112,-0.8192330349169741,0.37877531105784684
174,57,40,1.425,0.4308309963398343,-0.5526036429199953
175,52,38,1.368421052631579,0.32350128932446903,-0.895628865702957
176,33,24,1.375,-0.41569798515202067,-0.9452864920524879
177,71,50,1.42,0.9668754707387062,-0.517415682816766
178,102,68,1.5,1.9758112065423268,0.07329261636410707
179,29,18,1.6111111111111112,-0.8192330349169741,0.37877531105784684
180,45,31,1.4516129032258065,-0.056040095679047566,-0.4560583019143383
181,59,34,1.6764705882352942,0.12629607029848572,0.8792060360345471
182,27,18,1.3888888888888888,-0.701029403041963,-0.89621822157787
183,33,24,1.375,-0.41569798515202067,-0.9452864920524879
184,75,51,1.4705882352941178,1.0324344292796757,-0.21361489541540474
185,68,48,1.4166666666666667,0.8590279991572484,-0.549854625488978
186,57,38,1.5,0.3232760089065938,-0.12792443567311115
187,73,45,1.6222222222222222,0.7243003345231516,0.635002452545362
188,68,46,1.4782608695652173,0.7608096463965671,-0.2016868838776098
189,11,9,1.2222222222222223,-1.126420142297518,-1.916176168437067
190,84,64,1.3125,1.66666504841479,-1.0638350853348724
191,29,20,1.45,-0.6517048896320697,-0.5373694367126632
192,12,7,1.7142857142857142,-1.506161299141226,0.8921746057899556
193,109,82,1.329268292682927,2.609941872575612,-0.8540978405664419
194,23,15,1.5333333333333334,-0.9577416066211681,-0.09027227598537144
195,10,7,1.4285714285714286,-1.3437378273755878,-0.7451898323009677
196,42,27,1.5555555555555556,-0.2939215676575015,0.12039204351008308
197,10,7,1.4285714285714286,-1.3437378273755878,-0.7451898323009677
198,71,48,1.4791666666666667,0.8703478058781908,-0.18310272011777295
199,75,57,1.3157894736842106,1.3062068631120913,-1.0869900576240148
200,40,26,1.5384615384615383,-0.3462421846718905,0.01444956993399652
201,31,19,1.631578947368421,-0.7692621563583116,0.5039733236383838
202,32,18,1.7777777777777777,-0.8804614030165928,1.3400419831915007
203,28,20,1.4,-0.6351646695892933,-0.8260842065298846
204,12,8,1.375,-1.2422013789444661,-1.042559207825269
205,38,23,1.6521739130434785,-0.5449848469698758,0.6516924533432176
206,37,26,1.4230769230769231,-0.32072984109931735,-0.6541329093319898
207,36,24,1.5,-0.44790708332341495,-0.22182572662381297
208,24,16,1.5,-0.8885831360262773,-0.2754836071670712
209,52,29,1.793103448275862,-0.22121542145769016,1.5130072943856476
